model,best_accu_test_iter,best_accu_test_test,best_accu_test_noise,best_accu_test_adv,best_accu_test_sigmoid,best_accu_test_softmax,best_accu_noise_iter,best_accu_noise_test,best_accu_noise_noise,best_accu_noise_adv,best_accu_noise_sigmoid,best_accu_noise_softmax,best_accu_adv_iter,best_accu_adv_test,best_accu_adv_noise,best_accu_adv_adv,best_accu_adv_sigmoid,best_accu_adv_softmax,best_sigmoid_iter,best_sigmoid_test,best_sigmoid_noise,best_sigmoid_adv,best_sigmoid_sigmoid,best_sigmoid_softmax,best_softmax_iter,best_softmax_test,best_softmax_noise,best_softmax_adv,best_softmax_sigmoid,best_softmax_softmax
mnist_cnn_three_conv_backprop,5500,0.9893,0.9883,0.1226,1.0,1.0,5500,0.9893,0.9883,0.1226,1.0,1.0,42000,0.9879,0.9869,0.1692,1.0,1.0,1000,0.98,0.9805,0.0404,0.9976908,0.9852427,500,0.9746,0.9739,0.0203,0.9991154,0.9801587
mnist_cnn_three_conv_biprop,27500,0.9799,0.8369,0.068,0.9870443,0.9984151,500,0.9396,0.9001,0.0368,0.7162185,0.44370118,50000,0.9785,0.8644,0.0989,0.9654359,0.99809664,500,0.9396,0.9001,0.0368,0.7162185,0.44370118,500,0.9396,0.9001,0.0368,0.7162185,0.44370118
mnist_cnn_three_conv_halfbiprop,30500,0.9785,0.8559,0.0804,0.98661995,0.9984005,2500,0.9719,0.9006,0.0359,0.8069271,0.7430217,49000,0.978,0.8808,0.1032,0.9815633,0.9995097,2000,0.9631,0.8756,0.0283,0.6375066,0.6707642,500,0.938,0.7819,0.0456,0.69270515,0.3930705
mnist_cnn_three_conv_nobias_backprop,32500,0.9898,0.989,0.1976,1.0,1.0,25000,0.9891,0.9892,0.1904,1.0,1.0,50000,0.9892,0.988,0.2408,1.0,1.0,500,0.9791,0.9771,0.0306,0.9933878,0.9371006,500,0.9791,0.9771,0.0306,0.9933878,0.9371006
mnist_cnn_three_conv_nobias_biprop,41500,0.9813,0.9346,0.2415,0.5000016700055778,0.99826765,48500,0.9807,0.9365,0.242,0.5000048300466583,0.99915195,48000,0.9795,0.9318,0.246,0.5000055500616057,0.9982053,43500,0.9803,0.9339,0.2382,0.500000650000845,0.9989278,1500,0.9633,0.8512,0.1485,0.5185835736436463,0.41650623
mnist_cnn_three_conv_nobias_halfbiprop,48500,0.977,0.7643,0.2489,4.678139e-05,1.0,500,0.9319,0.8127,0.1792,0.5,0.44326803,50000,0.9769,0.77,0.2535,5.9940667e-06,1.0,50000,0.9769,0.77,0.2535,5.9940667e-06,1.0,500,0.9319,0.8127,0.1792,0.5,0.44326803
mnist_gan_cnn_two_conv_backprop,20000,0.9925,0.9913,0.0477,1.0,1.0,20000,0.9925,0.9913,0.0477,1.0,1.0,475000,0.9899,0.9877,0.6889,1.0,1.0,0,0.1231,0.0987,0.061,0.5762891186247734,0.23044811588217473,0,0.1231,0.0987,0.061,0.5762891186247734,0.23044811588217473
mnist_gan_cnn_two_conv_biprop,305000,0.9823,0.9696,0.9084,1.0,1.0,140000,0.9799,0.9754,0.7128,1.0,1.0,495000,0.9791,0.9733,0.9525,1.0,1.0,0,0.1231,0.0987,0.061,0.5762891186247734,0.23044811588217473,0,0.1231,0.0987,0.061,0.5762891186247734,0.23044811588217473
mnist_gan_cnn_two_conv_halfbiprop,485000,0.9854,0.9783,0.9375,1.0,1.0,490000,0.9853,0.9784,0.9375,1.0,1.0,465000,0.9849,0.9779,0.9383,1.0,1.0,0,0.1231,0.0987,0.061,0.5762891186247734,0.23044811588217473,0,0.1231,0.0987,0.061,0.5762891186247734,0.23044811588217473
mnist_gan_cnn_two_conv_nobias_backprop,75000,0.9921,0.9906,0.0508,1.0,1.0,100000,0.9921,0.9908,0.0308,1.0,1.0,445000,0.9907,0.9899,0.6825,1.0,1.0,0,0.1231,0.0987,0.061,0.5762891186247734,0.23044811588217473,0,0.1231,0.0987,0.061,0.5762891186247734,0.23044811588217473
